code,level1,level2,level3,clarification_info
182000,Environmental Services,Waste Management,"",Product / service
182010,Environmental Services,Waste Management,Abandoned Vehicles,Removal service
182011,Environmental Services,Waste Management,Consumables,"Products, includes bags, etc."
182012,Environmental Services,Waste Management,Recycling,Service
182020,Environmental Services,Waste Management,Toxic & Hazardous Waste,Service
182013,Environmental Services,Waste Management,Waste Collection,Service
182014,Environmental Services,Waste Management,Waste Collection for Recycling,"Service, includes Waste Electrical & Electronic Equipment (WEEE) Directive, plus confidential waste"
182015,Environmental Services,Waste Management,Waste Disposal,Service
182099,Environmental Services,Waste Management,Not Elsewhere Classified,Product / service
182030,Environmental Services,Water Assessment & Treatment,"",Product / service
182100,Environmental Services,Weather Forecasts,"",Service
189999,Environmental Services,Not Elsewhere Classified,"",Product / service
190000,Facilities & Management Services,"","",Product / service
191000,Facilities & Management Services,Advertising,"",Product / service
191010,Facilities & Management Services,Advertising,Promotional & Recruitment,Service
191011,Facilities & Management Services,Advertising,Statutory,Service
191099,Facilities & Management Services,Advertising,Not Elsewhere Classified,Product / service
191100,Facilities & Management Services,Design & Photography,"",Service
191200,Facilities & Management Services,Document Archiving & Storage,"",Service
191300,Facilities & Management Services,Energy Efficiency,"",Service
191400,Facilities & Management Services,Lifts,"",Product / service
191410,Facilities & Management Services,Lifts,New Installation,Products or supply & fit
191411,Facilities & Management Services,Lifts,Repair & Maintenance,Service
191499,Facilities & Management Services,Lifts,Not Elsewhere Classified,Products or supply & fit / service
191500,Facilities & Management Services,Market Research,"",Service
192400,Facilities & Management Services,Marketing,"",Service
191510,Facilities & Management Services,Portable Building Hire,"","Service, includes toilets"
191600,Facilities & Management Services,Printing,"",Service
191700,Facilities & Management Services,Property Management,"",Service
191800,Facilities & Management Services,Public Relations & Image,"",Service
191900,Facilities & Management Services,Removals,"","Service, includes home & office"
192000,Facilities & Management Services,Reprographics,"",Service
192100,Facilities & Management Services,Retail,"",Service
192110,Facilities & Management Services,Room Hire,"",Service
192200,Facilities & Management Services,Security,"",Product / service
192210,Facilities & Management Services,Security,Access Control,Service
192211,Facilities & Management Services,Security,Closed-Circuit Television,"Building security products, supply & fit or service"
192212,Facilities & Management Services,Security,Equipment,"Products, includes alarms"
192213,Facilities & Management Services,Security,Manned Guarding,Service
192214,Facilities & Management Services,Security,Street Wardens,Service
192299,Facilities & Management Services,Security,Not Elsewhere Classified,Product / service
192300,Facilities & Management Services,Storage,"",Service
199999,Facilities & Management Services,Not Elsewhere Classified,"",Product / service
200000,Financial Services,"","",Service
201000,Financial Services,Accountancy,"",Service
201100,Financial Services,Audit,"",Service
201200,Financial Services,Banking,"",Service
201300,Financial Services,Cash Collection,"",Service
201400,Financial Services,Council Tax & Business Rates,"",Service
201450,Financial Services,Credit Services,"",Service
201510,Financial Services,Credit Services,Agencies,Service
201500,Financial Services,Credit Services,Cards,Service
201511,Financial Services,Credit Services,Invoice Discounting / Factoring,Services
201599,Financial Services,Credit Services,Not Elsewhere Classified,Service
201600,Financial Services,Debt Collection & Recovery,"",Service
201700,Financial Services,Grants,"",Service
201710,Financial Services,Grants,Charitable,Service
201711,Financial Services,Grants,Non-charitable,Service
201799,Financial Services,Grants,Not Elsewhere Classified,Service
201800,Financial Services,Insurance,"",Service
201820,Financial Services,Insurance,Property,Service
201821,Financial Services,Insurance,Transport,Service
201899,Financial Services,Insurance,Not Elsewhere Classified,Service
201801,Financial Services,Investments,"",Service
201810,Financial Services,Pension Funds,"",Service
201830,Financial Services,Periodicals,"",Magazines & journals etc.
201900,Financial Services,Refund,"",Service
202000,Financial Services,Rents,"",Service
202100,Financial Services,Subscriptions,"",Professional bodies & associations
209999,Financial Services,Not Elsewhere Classified,"",Service
210000,Furniture & Soft Furnishings,"","",Products
211000,Furniture & Soft Furnishings,Commercial Furniture,"",Products or supply & fit
211100,Furniture & Soft Furnishings,Domestic Furniture,"",Products or supply & fit
171112,Furniture & Soft Furnishings,Educational Furniture,"",Products
211200,Furniture & Soft Furnishings,Office Furniture,"",Products
211210,Furniture & Soft Furnishings,Soft Furnishings,"",Products or supply & fit
219999,Furniture & Soft Furnishings,Not Elsewhere Classified,"",Products
220000,Health & Safety,"","",Product / service
221100,Health & Safety,Maintenance,"","Service, includes smoke alarms & fire extinguishers"
221000,Health & Safety,Products,"","Products or supply & fit, includes smoke alarms & fire extinguishers"
221300,Health & Safety,Services,"",Service
229999,Health & Safety,Not Elsewhere Classified,"",Product / service
310000,Healthcare,"","",Product / service
310100,Healthcare,Agency,"",Service
311000,Healthcare,Consumables,"",Products
311100,Healthcare,Counselling,"",Service
311200,Healthcare,Drugs & Pharmacy Services,"",Product / service
311300,Healthcare,Equipment,"",Products or supply & fit
311400,Healthcare,Fees,"",Service
311410,Healthcare,Occupational Therapy Services,"",Service
311500,Healthcare,Operations,"",Service
151510,Healthcare,Public Health,"",Service
151513,Healthcare,Public Health,GP Surgery Services,Service
151514,Healthcare,Public Health,Specialist Services,Service
151515,Healthcare,Public Health,Not Elsewhere Classified,Service
311600,Healthcare,Services,"",Service
151511,Healthcare,Social Policy,"",Service
319999,Healthcare,Not Elsewhere Classified,"",Product / service
230000,Highway Equipment & Materials,"","",Products
231000,Highway Equipment & Materials,Aggregates,"",Products
231100,Highway Equipment & Materials,Bituminous Materials & Surface Dressings,"",Products
231200,Highway Equipment & Materials,Concrete,"",Products
231210,Highway Equipment & Materials,Drainage,"",Products
231220,Highway Equipment & Materials,Guard Rails & Safety Fencing,"",Products
231300,Highway Equipment & Materials,Health & Safety,"",Products
231500,Highway Equipment & Materials,Paving & Kerbstones,"",Products
351300,Highway Equipment & Materials,Rock Salt / Grit,"",Products
231600,Highway Equipment & Materials,Signage,"",Products
231700,Highway Equipment & Materials,Street Furniture & Ironworks,"","Products, includes benches, bins, etc."
231400,Highway Equipment & Materials,Street Lighting,"",Products
239999,Highway Equipment & Materials,Not Elsewhere Classified,"",Products
240000,Horticultural,"","","Product / service, includes agriculture"
241000,Horticultural,Chemicals,"",Products
241100,Horticultural,Seeds & Plants,"",Products
241300,Horticultural,Soils & Dressing,"",Products
241400,Horticultural,Stones & Rocks,"",Products
241500,Horticultural,Tools & Equipment,"",Product / service
241511,Horticultural,Tools & Equipment,Hire,Service
241510,Horticultural,Tools & Equipment,Purchase,Products
241599,Horticultural,Tools & Equipment,Not Elsewhere Classified,Products
241210,Horticultural,Tree Trimming,"",Service
241600,Horticultural,Trees & Shrubs,"",Products
241211,Horticultural,Verges,"",Service
241212,Horticultural,Weed Control,"",Service
249999,Horticultural,Not Elsewhere Classified,"",Product / service
250000,Housing Management,"","",Service
151710,Housing Management,Arms Length Management Organisations,"",Service
250005,Housing Management,Housing Association Services,"",Service
250010,Housing Management,Letting  / Estate Agents,"",Service
151711,Housing Management,Stock Management,"",Service
251100,Housing Management,Tenants Associations,"",Service
259999,Housing Management,Not Elsewhere Classified,"",Service
260000,Human Resources,"","",Service
261000,Human Resources,Accommodation,"",Service
261100,Human Resources,Interpretation & Translation,"",Service
261200,Human Resources,Professional & Advisory Services,"",Service
261300,Human Resources,Recruitment & Assessment,"",Service
261400,Human Resources,Temporary & Agency Staff,"",Service
261410,Human Resources,Temporary & Agency Staff,Accountancy,Service
261411,Human Resources,Temporary & Agency Staff,Administration & Clerical,Service
261412,Human Resources,Temporary & Agency Staff,Industrial Operatives,Service
261413,Human Resources,Temporary & Agency Staff,Professional,"Service, includes surveyors, planners, etc."
261416,Human Resources,Temporary & Agency Staff,Salaries,Service
261414,Human Resources,Temporary & Agency Staff,Social & Community Care,Service
261415,Human Resources,Temporary & Agency Staff,Supply Teachers,Service
261499,Human Resources,Temporary & Agency Staff,Not Elsewhere Classified,Service
261500,Human Resources,Training & Conferences,"",Service
261510,Human Resources,Training & Conferences,Conferences,Service
261520,Human Resources,Training & Conferences,Training,Service
261599,Human Resources,Training & Conferences,Not Elsewhere Classified,Service
261600,Human Resources,Travel & Subsistence,"",Service
361511,Human Resources,Travel & Subsistence,Taxi Fares,"Service, staff only"
261699,Human Resources,Travel & Subsistence,Not Elsewhere Classified,Service
269999,Human Resources,Not Elsewhere Classified,"",Service
270000,Information Communication Technology,"","",Product / service
271000,Information Communication Technology,Call Systems,"",Products
271100,Information Communication Technology,Consumables,"",Products
271200,Information Communication Technology,Hardware,"",Products
271210,Information Communication Technology,Leasing,"",Service
271400,Information Communication Technology,Office & Reprographics Equipment,"",Products
271501,Information Communication Technology,Services,"",Service
271510,Information Communication Technology,Services,Application Service Provision,Service
271516,Information Communication Technology,Services,Cloud Services,Service
261517,Information Communication Technology,Services,Consultancy,Service
271513,Information Communication Technology,Services,Disaster Recovery,Service
271514,Information Communication Technology,Services,Disposal of Storage Media,Service
271517,Information Communication Technology,Services,Internet Service Provision,Service
271300,Information Communication Technology,Services,Maintenance & Support,Service
271420,Information Communication Technology,Services,Online Services,Service
151812,Information Communication Technology,Services,Project Management,Service
271515,Information Communication Technology,Services,Website Development,Service
271599,Information Communication Technology,Services,Not Elsewhere Classified,Service
271440,Information Communication Technology,Software,"",Products
271430,Information Communication Technology,Software,Commercial Off-The-Shelf,Products
271600,Information Communication Technology,Software,Customised & Bespoke,Products
272000,Information Communication Technology,Software,Mobile App Development,Service
271499,Information Communication Technology,Software,Not Elsewhere Classified,Product / service
271699,Information Communication Technology,Telecommunications,"",Product / service
271900,Information Communication Technology,Telecommunications,Airwave,Product / service
271700,Information Communication Technology,Telecommunications,Fixed,Product / service
271800,Information Communication Technology,Telecommunications,Mobile,Product / service
271799,Information Communication Technology,Telecommunications,Not Elsewhere Classified,Product / service
279999,Information Communication Technology,Not Elsewhere Classified,"",Product / service
280000,Legal Services,"","",Service
281000,Legal Services,Advocacy,"",Service
281100,Legal Services,Election Services,"",Service
281200,Legal Services,General Support,"","Service, includes conveyancing, etc."
281300,Legal Services,Legal Opinion,"",Service
281500,Legal Services,Licensing / Accreditation,"","Service, includes Television Licensing, PRS / PPL etc."
281400,Legal Services,Specialist Support,"","Service, includes Private Finance Initiative & Public Private Partnerships"
289999,Legal Services,Not Elsewhere Classified,"",Service
300000,Mail Services,"","",Product / service
301000,Mail Services,Couriers,"",Service
301100,Mail Services,Freight,"",Service
301200,Mail Services,Postage,"",Products
309999,Mail Services,Not Elsewhere Classified,"",Product / service
360000,Passenger Transport,"","",Passenger vehicles service
361800,Passenger Transport,Bus & Coach Services,"",Passenger vehicles service
361810,Passenger Transport,Bus & Coach Services,Adult Social Care,Passenger vehicles service
361811,Passenger Transport,Bus & Coach Services,Children Social Care,Passenger vehicles service
361812,Passenger Transport,Bus & Coach Services,Home to School / College,Passenger vehicles service
361813,Passenger Transport,Bus & Coach Services,Home to School / College - Special Educational Needs,Passenger vehicles service
361814,Passenger Transport,Bus & Coach Services,Local Bus Services,Passenger vehicles service
361899,Passenger Transport,Bus & Coach Services,Not Elsewhere Classified,Passenger vehicles service
361700,Passenger Transport,Concessionary Fares & Subsidized Travel,"",Passenger vehicles service
361000,Passenger Transport,Fleet Management,"",Passenger vehicles service
361100,Passenger Transport,Haulage,"",Passenger vehicles service
361200,Passenger Transport,Maintenance,"",Passenger vehicles service
361900,Passenger Transport,Minibus Services,"",Passenger vehicles service
361910,Passenger Transport,Minibus Services,Adult Social Care,Passenger vehicles service
361911,Passenger Transport,Minibus Services,Children Social Care,Passenger vehicles service
361912,Passenger Transport,Minibus Services,Home to School / College,Passenger vehicles service
361913,Passenger Transport,Minibus Services,Home to School / College - Special Educational Needs,Passenger vehicles service
361999,Passenger Transport,Minibus Services,Not Elsewhere Classified,Passenger vehicles service
361400,Passenger Transport,Repair,"",Passenger vehicles service
361450,Passenger Transport,Taxi Services,"",Passenger vehicles service
361410,Passenger Transport,Taxi Services,Adult Social Care,Passenger vehicles service
361411,Passenger Transport,Taxi Services,Children Social Care,Passenger vehicles service
361412,Passenger Transport,Taxi Services,Home to School / College,Passenger vehicles service
361413,Passenger Transport,Taxi Services,Home to School / College - Special Educational Needs,Passenger vehicles service
361510,Passenger Transport,Taxi Services,Non Staff,Passenger vehicles service
361414,Passenger Transport,Taxi Services,Staff,Passenger vehicles service
361499,Passenger Transport,Taxi Services,Not Elsewhere Classified,Passenger vehicles service
369999,Passenger Transport,Not Elsewhere Classified,"",Passenger vehicles service
321000,Social Community Care Supplies & Services - Adult,"","",Service
321010,Social Community Care Supplies & Services - Adult,"Advice, Advocacy & Counselling Services","",Service
321020,Social Community Care Supplies & Services - Adult,Alcohol & Drug Rehabilitation,"",Service
321011,Social Community Care Supplies & Services - Adult,Asylum Seekers Services,"",Service
321012,Social Community Care Supplies & Services - Adult,Black & Minority Ethnic Services,"",Service
321013,Social Community Care Supplies & Services - Adult,Day Care,"",Service
321500,Social Community Care Supplies & Services - Adult,Direct Payment,"",Service
321014,Social Community Care Supplies & Services - Adult,Domiciliary Care,"",Service
321600,Social Community Care Supplies & Services - Adult,Domiciliary Care,Reablement,Service
321699,Social Community Care Supplies & Services - Adult,Domiciliary Care,Not Elsewhere Classified,Service
321700,Social Community Care Supplies & Services - Adult,Floating Support,"",Support tied to individual rather than location
321021,Social Community Care Supplies & Services - Adult,Homeless Support,"",Service
321800,Social Community Care Supplies & Services - Adult,Independent Supported Living,"",Service
321810,Social Community Care Supplies & Services - Adult,Independent Supported Living,Extra Care,Service
321899,Social Community Care Supplies & Services - Adult,Independent Supported Living,Not Elsewhere Classified,Service
322001,Social Community Care Supplies & Services - Adult,Mental Health Services,"",Service
321017,Social Community Care Supplies & Services - Adult,Nursing & Residential Care Homes,"",Service
321900,Social Community Care Supplies & Services - Adult,Respite,"",Service
321910,Social Community Care Supplies & Services - Adult,Respite,Residential,Service
321920,Social Community Care Supplies & Services - Adult,Respite,Short break,Service
321930,Social Community Care Supplies & Services - Adult,Respite,Community,Service
321999,Social Community Care Supplies & Services - Adult,Respite,Not Elsewhere Classified,Service
322100,Social Community Care Supplies & Services - Adult,Services for Carers,"",Service
322110,Social Community Care Supplies & Services - Adult,Services for Carers,Carer Sitting Services,Service
322120,Social Community Care Supplies & Services - Adult,Services for Carers,Carers breaks,Service
322199,Social Community Care Supplies & Services - Adult,Services for Carers,Not Elsewhere Classified,Service
322200,Social Community Care Supplies & Services - Adult,Shared Lives,"",'Adult fostering' service
321015,Social Community Care Supplies & Services - Adult,Sheltered Accommodation,"",Service
321060,Social Community Care Supplies & Services - Adult,Temporary Accommodation - Unsupported,"",Service
329899,Social Community Care Supplies & Services - Adult,Not Elsewhere Classified,"",Service
321100,Social Community Care Supplies & Services - Children,"","",Service
401001,Social Community Care Supplies & Services - Children,Community Based Services,"",Service
321112,Social Community Care Supplies & Services - Children,Community Based Services,After School Care,Service
401002,Social Community Care Supplies & Services - Children,Community Based Services,Alternative Education,Service
321113,Social Community Care Supplies & Services - Children,Community Based Services,Baby Sitting Services,Service
321114,Social Community Care Supplies & Services - Children,Community Based Services,Black & Minority Ethnic Services,Service
321115,Social Community Care Supplies & Services - Children,Community Based Services,Childcare Services,Service
401003,Social Community Care Supplies & Services - Children,Community Based Services,Childrens Centres,Service
401004,Social Community Care Supplies & Services - Children,Community Based Services,Creche Buildings,Lease / Hire of Premises
401005,Social Community Care Supplies & Services - Children,Community Based Services,Creche Staffing,Service
321116,Social Community Care Supplies & Services - Children,Community Based Services,Creches,Service
401006,Social Community Care Supplies & Services - Children,Community Based Services,Schools & Academies,Service
401007,Social Community Care Supplies & Services - Children,Community Based Services,Voluntary Sector Support Services e.g. Activities,Service
401099,Social Community Care Supplies & Services - Children,Community Based Services,Not Elsewhere Classified,Service
321200,Social Community Care Supplies & Services - Children,Disabled Children,"",Service
321210,Social Community Care Supplies & Services - Children,Disabled Children,Care Services,Service
321211,Social Community Care Supplies & Services - Children,Disabled Children,Day Services,Service
321212,Social Community Care Supplies & Services - Children,Disabled Children,Leisure Early Years,Service
321213,Social Community Care Supplies & Services - Children,Disabled Children,Play Services,Service
321214,Social Community Care Supplies & Services - Children,Disabled Children,Residential Care,Service
401101,Social Community Care Supplies & Services - Children,Disabled Children,Short Day Breaks,Service
401102,Social Community Care Supplies & Services - Children,Disabled Children,Short Overnight Breaks,Service
321215,Social Community Care Supplies & Services - Children,Disabled Children,Volunteering Youth Support Services,Service
401199,Social Community Care Supplies & Services - Children,Disabled Children,Not Elsewhere Classified,Service
401201,Social Community Care Supplies & Services - Children,Early Intervention Health Services,"",Service
322002,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Advice & Counselling,Service
401202,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Family Based Services,Service
401203,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Family Support,Service
401204,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Health Visiting,Service
401205,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Midwifery,Service
401206,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Nutrition,Service
401207,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Parenting,Service
401208,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Prevention Services,Service
401209,Social Community Care Supplies & Services - Children,Early Intervention Health Services,School Nursing,Service
401210,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Supporting People,Service
401211,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Teenage Parents,Service
401299,Social Community Care Supplies & Services - Children,Early Intervention Health Services,Not Elsewhere Classified,Service
401301,Social Community Care Supplies & Services - Children,Residential Services,"",Service
401302,Social Community Care Supplies & Services - Children,Residential Services,Day Care,Service
401303,Social Community Care Supplies & Services - Children,Residential Services,Foster Care,Service
321117,Social Community Care Supplies & Services - Children,Residential Services,Residential Care,Service
401304,Social Community Care Supplies & Services - Children,Residential Services,Schools & Academies,Service
401305,Social Community Care Supplies & Services - Children,Residential Services,Semi-Independent Living & Leaving Care,Service
401306,Social Community Care Supplies & Services - Children,Residential Services,Special Educational Needs Placements,Service
401399,Social Community Care Supplies & Services - Children,Residential Services,Not Elsewhere Classified,Service
401700,Social Community Care Supplies & Services - Children,Respite,"",Service
401710,Social Community Care Supplies & Services - Children,Respite,Residential,Service
401720,Social Community Care Supplies & Services - Children,Respite,Short break,Service
401730,Social Community Care Supplies & Services - Children,Respite,Community,Service
401799,Social Community Care Supplies & Services - Children,Respite,Not Elsewhere Classified,Service
401401,Social Community Care Supplies & Services - Children,Specialist Needs,"",Service
321110,Social Community Care Supplies & Services - Children,Specialist Needs,Adolescent Mental Health Services,Service
321111,Social Community Care Supplies & Services - Children,Specialist Needs,Adoption Services,Service
401402,Social Community Care Supplies & Services - Children,Specialist Needs,Carer Assessments,Service
401403,Social Community Care Supplies & Services - Children,Specialist Needs,Community & Mental Health Service,Service
401404,Social Community Care Supplies & Services - Children,Specialist Needs,Fostering Service,Service
401405,Social Community Care Supplies & Services - Children,Specialist Needs,Independent Reviewing Officer Service,Service
401406,Social Community Care Supplies & Services - Children,Specialist Needs,Leaving Care Services,Service
401407,Social Community Care Supplies & Services - Children,Specialist Needs,Parent & Child Assessments,Service
401408,Social Community Care Supplies & Services - Children,Specialist Needs,Social Work Practice & Training,Service
321118,Social Community Care Supplies & Services - Children,Specialist Needs,Specialist Domestic Violence,Service
401409,Social Community Care Supplies & Services - Children,Specialist Needs,Speech & Language,Service
401410,Social Community Care Supplies & Services - Children,Specialist Needs,Substance Misuse,Service
401411,Social Community Care Supplies & Services - Children,Specialist Needs,Supervised Contacts,Service
401412,Social Community Care Supplies & Services - Children,Specialist Needs,Troubled Families,Service
401413,Social Community Care Supplies & Services - Children,Specialist Needs,Young Carers,Service
401414,Social Community Care Supplies & Services - Children,Specialist Needs,Young Runaways,Service
401499,Social Community Care Supplies & Services - Children,Specialist Needs,Not Elsewhere Classified,Service
401501,Social Community Care Supplies & Services - Children,Support Services & Advocacy Services,"",Service
